0001;A Fork in the Tale;1997;Advance Reality Interactive;
0002;A Game of Thrones: Genesis;2011;Cyanide;
0003;A Hat in Time;2017;Gears for Breakfast;
0004;A New Beginning;2010;Daedalic Entertainment;
0005;A New Beginning;2010;Daedalic Entertainment;
0006;A Second Face;2008;Jospin Le Woltaire;
0007;A Tale in the Desert;2003;eGenesis;
0008;A Tale of Two Kingdoms;2007;Crystal Shard;
0009;A Vampyre Story;2008;Autumn Moon Entertainment;
0010;A Virus Named TOM;2012;Misfits Attic;
0011;A-10 Cuba!;1996;Parsoft Interactive;
0012;A2 Racer;1997;Davilex Games;
0013;ABC Sports Indy Racing;1997;Shot Sports Software;
0014;Abomination: The Nemesis Project;1999;Hothouse Creations;
0015;Ace Online;2006;MasangSoft;
0016;Ace Ventura;1996;7th Level;
0017;Aces of the Galaxy;2008;Artech Studios;
0018;Achtung Spitfire!;1997;Big Time Software;
0019;Act of War: Direct Action;2005;Eugen Systems;
0020;Act of War: High Treason;2006;Eugen Systems;
0021;Action Half-Life;1999;The A-Team;
0022;Action Half-Life 2;2009;RevolverStudios;
0023;Action Quake 2;1998;The A-Team;
0024;Active Worlds;1995;ActiveWorlds, Inc.;
0025;Activision Anthology;2002;MacPlay;
0026;Actua Ice Hockey;1998;Gremlin Interactive;
0027;Actua Pool;1999;Gremlin Interactive;
0028;Addiction Pinball;1998;Team17;
0029;Adrift;2015;Three One Zero;
0030;Advent Rising;2005;GlyphX Games;
0031;Adventure Pinball: Forgotten Island;2001;Digital Extremes;
0032;Adventures of Pip;2015;TicToc Games;
0033;AdvertCity;2015;VoxelStorm;
0034;Africa Trail;1995;MECC;
0035;After...;2003;Ciel;
0036;Afterlife;1996;LucasArts;
0037;Agatha Christie: And Then There Were None;2005;AWE Productions;
0038;Agatha Christie: Evil Under the Sun;2007;AWE Productions;
0039;Agatha Christie: Murder on the Orient Express;2006;AWE Productions;
0040;Age of Booty;2008;Certain Affinity;
0041;Age of Chivalry;2007;Team Chivalry;
0042;Age of Conan: Hyborian Adventures;2008;Funcom;
0043;Age of Empires;1997;Ensemble Studios;
0044;Age of Empires II: Rise of the Rajas;2016;SkyBox Labs;
0045;Age of Empires II: The African Kingdoms;2015;SkyBox Labs;
0046;Age of Empires II: The Age of Kings;1999;Ensemble Studios;
0047;Age of Empires II: The Conquerors;2000;Ensemble Studios;
0048;Age of Empires II: The Forgotten;2013;SkyBox Labs;
0049;Age of Empires III;2005;Ensemble Studios;
0050;Age of Empires III: The Asian Dynasties;2007;Ensemble StudiosBig Huge Games;
0051;Age of Empires III: The WarChiefs;2006;Ensemble Studios;
0052;Age of Empires: The Rise of Rome;1998;Ensemble Studios;
0053;Age of Mythology;2002;Ensemble Studios;
0054;Age of Pirates 2: City of Abandoned Ships;2009;Akella;
0055;Age of Pirates: Captain Blood;2009;THQ;
0056;Age of Pirates: Caribbean Tales;2006;Akella;
0057;Age of Sail;1996;TalonSoft;
0058;Age of Sail II;2001;Akella;
0059;Age of Wanderers;2003;Joymax;
0060;Age of Wonders;1999;Triumph Studios;
0061;Age of Wonders II: The Wizard's Throne;2002;Triumph Studios;
0062;Age of Wonders III;2014;Triumph Studios;
0063;Age of Wonders: Planetfall;2019;Triumph Studios;
0064;Age of Wonders: Shadow Magic;2003;Triumph Studios;
0065;AGEOD's American Civil War;2007;AGEOD;
0066;Ai Space;2008;Ai Space Production Committee;
0067;Aion: The Tower of Eternity;2008;NCsoft;
0068;Air Assault Task Force;2006;ProSIM Company;
0069;Airfix Dogfighter;2000;Unique Development Studios;
0070;Airport Mania;2008;Reflexive Entertainment;
0071;Airport Tycoon;2000;Krisalis Software;
0072;Airport Tycoon 2;2003;Sunstorm Interactive;
0073;Airport Tycoon 3;2003;InterActive Vision;
0074;Akatsuki Blitzkampf;2007;Subtle Style;
0075;Al Emmo and the Lost Dutchman's Mine;2006;Himalaya Studios;
0076;Alan Wake;2012;Remedy Entertainment, Nitro Games;
0077;Alan Wake's American Nightmare;2012;Remedy Entertainment, Nitro Games;
0078;Alchemy;2001;PopCap Games;
0079;Alexander;2004;GSC Game World;
0080;Alfa Romeo Racing Italiano;2005;Milestone srl;
0081;Alias;2004;Acclaim Cheltenham;
0082;Alice VR;2016;Carbon Studio;
0083;Alice: An Interactive Museum;1994;Toshiba-EMI Ltd;
